vehicle_id,task_id,execution_location,size,execution_cycles,start_time,end_time,release_time,response_time,transmission_time,execution_time,execution_energy,transfer_energy,total_energy
1,81,1,2000000,10000000000,1651,3651,81,3570,1570,2000,0,0.4711260431651564,0.4711260431651564
1,110,1,2000000,3000000000,3651,4251,110,4141,1570,600,0,0.47113636903464134,0.47113636903464134
1,127,1,2000000,10000000000,4251,6251,127,6124,1570,2000,0,0.47113636903464134,0.47113636903464134
1,3,0,8000000,7000000000,3,7003,3,7000,0,7000,0.7,0,0.7
1,155,1,2000000,10000000000,6251,8251,155,8096,1570,2000,0,0.4711467007757539,0.4711467007757539
1,170,1,2000000,7000000000,8251,9651,170,9481,1571,1400,0,0.47115703838868384,0.47115703838868384
