vehicle_id,task_id,execution_location,size,execution_cycles,start_time,end_time,release_time,response_time,transmission_time,execution_time,execution_energy,transfer_energy,total_energy
1,7,1,2000000,10000000000,1577,3577,7,3570,1570,2000,0,0.4711157231671033,0.4711157231671033
1,33,1,2000000,3000000000,3577,4177,33,4144,1570,600,0,0.4711157231671033,0.4711157231671033
1,66,1,2000000,3000000000,4177,4777,66,4711,1570,600,0,0.4711260431651564,0.4711260431651564
1,1,0,3000000,6000000000,1,6001,1,6000,0,6000,0.6,0,0.6
1,95,1,2000000,10000000000,4777,6777,95,6682,1570,2000,0,0.4711260431651564,0.4711260431651564
1,124,1,2000000,6000000000,6777,7977,124,7853,1570,1200,0,0.47113636903464134,0.47113636903464134
1,179,1,2000000,8000000000,7977,9577,179,9398,1571,1600,0,0.47115703838868384,0.47115703838868384
