vehicle_id,task_id,execution_location,size,execution_cycles,start_time,end_time,release_time,response_time,transmission_time,execution_time,execution_energy,transfer_energy,total_energy
1,82,1,2000000,6000000000,1652,2852,82,2770,1570,1200,0,0.4711260431651564,0.4711260431651564
1,114,1,2000000,10000000000,2852,4852,114,4738,1570,2000,0,0.47113636903464134,0.47113636903464134
1,1,0,6000000,6000000000,1,6001,1,6000,0,6000,0.6,0,0.6
1,124,1,2000000,9000000000,4852,6652,124,6528,1570,1800,0,0.47113636903464134,0.47113636903464134
1,139,1,2000000,8000000000,6652,8252,139,8113,1570,1600,0,0.47113636903464134,0.47113636903464134
1,2,0,8000000,3000000000,6001,9001,2,8999,0,3000,0.3,0,0.3
1,144,1,2000000,7000000000,8252,9652,144,9508,1570,1400,0,0.4711467007757539,0.4711467007757539
